Date,Open,High,Low,Close
2017-07-06 01-AM,2607.84,2617.89,2600.05,2601.05
2017-07-06 02-AM,2600.2,2614.99,2600.2,2601
2017-07-06 03-AM,2601.05,2614.97,2601,2601.04
2017-07-06 04-AM,2601,2614.99,2601,2610
2017-07-06 05-AM,2601.04,2610,2600.05,2600.05
2017-07-06 06-AM,2610,2610,2600.05,2610
2017-07-06 07-AM,2600.05,2610,2600.05,2605
2017-07-06 08-AM,2610,2615,2600.05,2610
2017-07-06 09-AM,2605,2614.98,2600.05,2600.05
2017-07-06 10-AM,2610,2610,2600.05,2600.05
2017-07-06 11-AM,2600.05,2609,2600.05,2600.1
2017-07-06 12-PM,2600.05,2613.05,2600.05,2600.1
2017-07-06 01-PM,2600.1,2610,2600.1,2610
2017-07-06 02-PM,2600.1,2613.05,2600.1,2610.4
2017-07-06 03-PM,2610,2613.05,2601.01,2610
2017-07-06 04-PM,2610.4,2612.33,2600.2,2606.08
2017-07-06 05-PM,2610,2612.33,2602.5,2611.97
2017-07-06 06-PM,2606.08,2612.32,2602.5,2605.5
2017-07-06 07-PM,2611.97,2619,2602.54,2605
2017-07-06 08-PM,2605.5,2615,2604.6,2605.26
2017-07-06 09-PM,2605,2617,2605,2606.36
2017-07-06 10-PM,2605.26,2616.78,2605,2607
2017-07-06 11-PM,2606.36,2614.99,2605.5,2610.37
2017-07-07 12-AM,2607,2613.99,2607,2607.45
2017-07-07 01-AM,2610.37,2611.98,2605,2611.99
2017-07-07 02-AM,2607.45,2611.99,2605,2614
2017-07-07 03-AM,2611.99,2614,2605,2609.9
2017-07-07 04-AM,2614,2614,2602.59,2609.49
2017-07-07 05-AM,2609.9,2610,2600.05,2600
2017-07-07 06-AM,2609.49,2609.49,2600,2586.23
2017-07-07 07-AM,2600,2600,2584.9,2591.82
2017-07-07 08-AM,2586.23,2609.46,2586.23,2592
2017-07-07 09-AM,2591.82,2608.11,2589.11,2594.31
2017-07-07 10-AM,2592,2607.91,2587,2580
2017-07-07 11-AM,2594.31,2599.99,2580,2570
2017-07-07 12-PM,2580,2594,2570,2553.97
2017-07-07 01-PM,2570,2585,2537,2565
2017-07-07 02-PM,2553.97,2565,2553.97,2557.72
2017-07-07 03-PM,2565,2565,2540.02,2566
2017-07-07 04-PM,2557.72,2569.98,2556.51,2580
2017-07-07 05-PM,2566,2581.99,2556.51,2571.06
2017-07-07 06-PM,2580,2581.99,2570.1,2588
2017-07-07 07-PM,2571.06,2588,2565,2586.65
2017-07-07 08-PM,2588,2595,2566,2576.15
2017-07-07 09-PM,2586.65,2598,2566.05,2589
2017-07-07 10-PM,2576.15,2589.15,2576.09,2568.71
2017-07-07 11-PM,2589,2589,2567.29,2569.52
2017-07-08 12-AM,2568.71,2583.98,2567,2577.55
2017-07-08 01-AM,2569.52,2583.78,2545.96,2573.5
2017-07-08 02-AM,2577.55,2583.78,2560.86,2570.39
2017-07-08 03-AM,2573.5,2583.78,2570.22,2583.77
2017-07-08 04-AM,2570.39,2583.78,2570.39,2580
2017-07-08 05-AM,2583.77,2583.77,2571.01,2564.05
2017-07-08 06-AM,2580,2582.99,2560.4,2570
2017-07-08 07-AM,2564.05,2581.99,2564.05,2579.98
2017-07-08 08-AM,2570,2579.98,2562.13,2590
2017-07-08 09-AM,2579.98,2600,2568.01,2577.69
