Date,Open,High,Low,Close,Volume From,Volume To
2017-07-05 12-AM,2607.96,2618,2599.92,2602.15,22798,17251.97
2017-07-05 01-AM,2602.15,2616.93,2600.01,2612.99,0.4794,1247.28
2017-07-05 02-AM,2612.99,2616.82,2603,2616.82,0.4525,1179.0
2017-07-05 03-AM,2616.82,2616.82,2604,2616.48,47119,3368.13
2017-07-05 04-AM,2616.48,2617,2600.01,2616.55,42856,13503.94
2017-07-05 05-AM,2616.55,2616.55,2601.58,2602.01,32509,4938.67
2017-07-05 06-AM,2602.01,2610,2591,2591.01,43164,13069.86
2017-07-05 07-AM,2591.01,2603,2588,2588,30803,15148.63
2017-07-05 08-AM,2588,2596.99,2570,2571.02,19572,22027.34
2017-07-05 09-AM,2571.02,2590,2571.02,2590,43253,6716.8
2017-07-05 10-AM,2590,2594.48,2555,2555.01,43412,20839.84
2017-07-05 11-AM,2555.01,2574,2555,2572,16954,16575.06
2017-07-05 12-PM,2572,2589.98,2565,2580,26330,6996.43
2017-07-05 01-PM,2580,2602,2580,2597,36192,7759.97
2017-07-05 02-PM,2597,2610,2597,2601.11,13.56,35328.8
2017-07-05 03-PM,2601.11,2609.99,2601.05,2609.99,43141,26109.96
2017-07-05 04-PM,2609.99,2616,2600.06,2602,43104,10456.0
2017-07-05 05-PM,2602,2616,2602,2612,15.81,41243.75
2017-07-05 06-PM,2612,2620,2600.05,2610.8,22.66,59167.04
2017-07-05 07-PM,2610.8,2620,2600.05,2605.32,43208,47966.76
2017-07-05 08-PM,2605.32,2619.45,2600.07,2609,24.46,63781.34
2017-07-05 09-PM,2609,2613.44,2600.05,2609,43261,26196.68
2017-07-05 10-PM,2609,2619.97,2609,2611.01,14.75,38555.38
2017-07-05 11-PM,2611.01,2619.96,2600.05,2600.28,19998,27500.21
2017-07-06 12-AM,2600.28,2610.46,2600.05,2607.84,16.38,42662.11
2017-07-06 01-AM,2607.84,2617.89,2600.05,2600.2,24898,9584.46
2017-07-06 02-AM,2600.2,2614.99,2600.2,2601.05,43282,2779.76
